From,To,Subject,Body,TransactionID,Payment Date,Class
Spike@DEUTSCHEBANK.com,Shaniece@CitiBankPune.com,Transaction no. 072558 is unresolved.,Sorry to inform that there has been only a partial payment of amount GBP 908225.  You are definitely going to receive the rest at a later point of time. Warm Regards.,72558,04-02-2020,Pending
Stacy@HDFC.com,Rohan@CitiBankNewYork.com,Order for new Cheque book,"Good morning, I want to place an order for an multicity cheque book  for account no. 212096 having atleat 50 leaves. Kindly send the same to the address mentioned in my account records.",212096,29-05-2020,General
Zachary@HDFC.com,Rishabh@CitiBankPune.com,Required money acquired. Transaction 847047 is in process.,Hello! This is to inform you that I have received the amount you transferred to my account and now it is currently in process.,847047,26-01-2020,Processing
Stacy@SBI.com,Shai@CitiBankHongKong.com,Asking for the details for transaction 746078,I request you to kindly send the status of my transaction with ID : 746078. Thanks and regards,746078,17-06-2019,Request
Angela@HDFC.com,Dipesh@CitiBankSingapore.com,Partial payment for transaction 535918,"Hello!! Greetings for the day. Status of transaction USD 930581 for account 535918 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",535918,18-02-2020,Pending
David@HDFC.com,Suhail@CitiBankLondon.com,Payment done and Transaction 683241 settled.,Greetings! I wanted to let you know that I have acknowledged the payment for transaction 683241 in response to your email which confirmed the finalized status of my transaction. Thanks and regards.,683241,19-04-2020,Complete
Angela@HSBC.com,Rudra@CitiBankSingapore.com,Failure of transaction 608189,This is to notify you that my transaction 608189 has failed. Please reply to me with the cause as soon as possible.,608189,08-01-2019,Failed
Morgan@HSBC.com,Neha@CitiBankPune.com,Send steps to activate online banking,"Hey, I have to transfer funds to a different bank account urgently and now due to lockdown, I only have the option to do online banking. I would appreciate if you send me the instructions for the same. Thanks in advance.",920967,29-05-2020,General
Adam@SBI.com,Sumit@CitiBankSingapore.com,Incomplete transaction 947071,I regret to inform you that I could only pay the partial amount of EUR 595485 I will definitely pay the remaining amount as soon as possible.Thank you for you supreme patience and understanding. Regards.,947071,24-03-2020,Pending
Spike@HSBC.com,Patrick@CitiBankLondon.com,Failure of transaction 443004,"Hey, I see my transaction with ID 443004 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",443004,10-02-2019,Failed
Spike@DESHAW.com,Dipesh@CitiBankPune.com,The pending amount for transaction 537615 will reach you soon,"Since my transaction 537615 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",537615,21-12-2018,Pending
Zachary@SBI.com,Shubhanshu@CitiBankNewYork.com,Handling the transaction 682817 after payment.,"Sincere greetings, I am glad to tell you that I have finally been granted the pre-approved amount through transaction 682817 . It is now being processed. I am grateful for your support. Warm regards.",682817,10-12-2018,Processing
Morgan@DESHAW.com,Elena@CitiBankSingapore.com,Upgrade to an account with more benefits,"Hello, greetings for the day, So I have an account with your branch having no. 157394 and I have recently seen an advertisement which states that if I become a premium customer, I can avail many benefits. I have decided to upgrade my account. Can you please guide me through the steps to be taken in order to do this? i would be very grateful if you reply within 2 days. Thank you.",157394,17-01-2020,General
Spike@HDFC.com,Neha@CitiBankSingapore.com,Processing transaction having ID : 064742,Acknowledging the received payment for transaction 064742 . It is finally in process. I am appreciative of your efforts. Kind regards.,64742,13-06-2019,Processing
Bella@HSBC.com,Dipesh@CitiBankNewYork.com,issue a new Cheque book,Warm greetings to you. I have recently exhausted my cheque book and would like to order a new one. It should have 25 cheques in it. My preference is multicity cheques. Send them to me at the earliest opportunity. Expecting to hear from you soon.,624375,01-01-2020,General
Phillip@HSBC.com,Neha@CitiBankNewYork.com,The pending amount for transaction 376023 will reach you soon,I regret to inform you the I could only pay the partial amount of USD 144456 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,376023,26-12-2019,Pending
Jason@HDFC.com,Elena@CitiBankSingapore.com,Transaction having ID : 155325 has stopped. Help!,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 155325 Regards.,155325,17-07-2019,Failed
Bella@BNYMellon.com,Isabella@CitiBankLondon.com,Change address for account no. 090514,"Hey, It's me again. This time I want to change the address mentioned in your records since I have recently moved out of my previous place. My new address is  93 Windsor Road London. Please update this one. Thanks.",90514,05-12-2018,General
Zachary@JPMorgan.com,Anthony@CitiBankLondon.com,Partially paid the required amount for transaction 637016,There has been only a partial payment of amount GBP 386453. Assuring you that the rest will be paid later. Warm Regards.,637016,30-05-2019,Pending
Morgan@BNYMellon.com,Shaniece@CitiBankPune.com,there is an outstanding payment for transaction 981293,The transaction 981293 is taking too long to complete. It would be nice of you to  guide me through the further steps to be taken in order to complete the transaction. Hoping to hear from you at the earliest opportunity.,981293,02-07-2019,Pending
Jacob@HSBC.com,Liam@CitiBankNewYork.com,Sorted out the transaction with ID : 567556,Greetings! I wanted to let you know that I have acknowledged the payment for transaction 567556 in response to your email which confirmed the finalized status of my transaction. Thanks and regards.,567556,31-12-2018,Complete
Jacob@DESHAW.com,Sumit@CitiBankNewYork.com,Handling the transaction 606477 after payment.,Thank you for transferring the payment to my account yesterday. I appreciate the quick response. I would like to inform you that is is currently in process. Thanks and regards.,606477,23-03-2020,Processing
Jacob@JPMorgan.com,Shai@CitiBankHongKong.com,Transaction 793500 has failed!,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 793500 Regards.,793500,14-05-2019,Failed
Spike@HDFC.com,Patrick@CitiBankNewYork.com,Failure of transaction 904961,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 904961 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",904961,26-01-2019,Failed
Jacob@BNYMellon.com,Anthony@CitiBankSingapore.com,Accepted payment. Transaction 650055 currently processing,Acknowledging the received payment for transaction 650055 . It is finally in process. Kind regards.,650055,23-05-2019,Processing
